Salesforce Type	H2	MySQL	Oracle	PostgreSQL	SQL/Server
ANYTYPE	 CLOB	 TEXT	 NCLOB	 TEXT	 NVARCHAR(MAX)
BASE64	 CLOB	 TEXT, MEDIUMTEXT, or LONGTEXT	 CLOB	 TEXT	 VARCHAR(MAX)
BOOLEAN	 BOOLEAN	 BOOLEAN	DECIMAL(1)	BOOLEAN	 BOOLEAN
COMBOBOX	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
CURRENCY	 DECIMAL	 DECIMAL	 NUMBER	 NUMERIC	 DECIMAL
DATACATEGORYGROUPREFERENCE	 CHAR	 CHAR	 CHAR	 CHAR	 CHAR
DATE	 TIMESTAMP	 DATE	 TIMESTAMP(3)	 DATE	 DATE
DATETIME	 TIMESTAMP	 DATETIME	 TIMESTAMP(3)	 TIMESTAMP	 DATETIME
DOUBLE	 DECIMAL	 DECIMAL	 NUMBER	 NUMERIC	 DECIMAL
EMAIL	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
ENCRYPTEDSTRING	 NVARCHAR	 VARCHAR	 NVARCHAR2	VARCHAR	 NVARCHAR
ID	 CHAR	 CHAR	 CHAR	 CHAR	 CHAR
INT	 INTEGER	 INTEGER, DECIMAL, or BIGINT	 NUMBER	 INTEGER	 INT or BIGINT
MULTIPICKLIST	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
PERCENT	 DECIMAL	 DECIMAL	 NUMBER	 NUMERIC	 DECIMAL
PHONE	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
PICKLIST	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
REFERENCE	 CHAR	 CHAR	 CHAR	 CHAR	 CHAR
STRING	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
TEXTAREA	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
TIME	 TIME	 DATETIME	 TIMESTAMP(3)	 TIME	 DATETIME
URL	 NVARCHAR	 VARCHAR	 NVARCHAR2	 VARCHAR	 NVARCHAR
